# list of object assets to load in this scene
[ASSETS]
mario.txt
brick.txt
coin.txt
goomba.txt
ground.txt
questionblock.txt
tunnel.txt
#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas
# See OBJECT_TYPE constants in AssetIDs.h

# MARIO
0	20	10

#Platform
5	0	180	16	16	39	51000	52000	53000
5	624	164	16	16	29	51000	52000	53000
5	624	180	16	16	29	54000	55000	56000
5	1152	180	16	16	22	51000	52000	53000
5	1536	180	16	16	5	51000	52000	53000
5	1664	180	16	16	36	51000	52000	53000
5	2256	180	16	16	35	51000	52000	53000

#Questionblock
6	176	116
6	192	116
6	224	68
6	240	68
6	400	84
6	640	148
6	688	116
6	1456	132

#Brick
1	1504	100	20001	
1	1520	100	20001
1	1568	164	20001
1	1584	164	20001
1	1600	164	20001
1	1584	148	20001
1	1600	148	20001
1	1600	132	20001
1	1664	164	20001
1	1664	148	20001
1	1664	132	20001
1	1680	164	20001
1	1680	148	20001
1	1696	164	20001
1 	2256	132	20001
1	2272	132	20001
1	2256	68	20001
1	2272	68	20001
1	1952	164	20002
1	1968	164	20002
1	1968	148	20002
1	1984	164	20002
1	1984	148	20002
1	1984	132	20002
1	2000	164	20002
1	2000	148	20002	
1	2000	132	20002
1	2016	164	20002
1	2016	148	20002	
1	2016	132	20002
1	2032	164	20002
1	2032	148	20002	
1	2032	132	20002
1	2048	164	20002
1	2096	164	20002
1	2096	148	20002
1	2112	164	20002

#Tunnel
7	352	132	70001
7	368	132	70002
7	352	148	70003
7	368	148	70004
7	352	164	70003
7	368	164	70004
7	1744	148	70001
7	1760	148	70002
7	1744	164	70003
7	1760	164	70004
7	1808	132	70001
7	1824	132	70002
7	1808	148	70003
7	1824	148	70004
7	1808	164	70003
7	1824	164	70004
7	2256	164	70003
7	2272	164	70004
7	2256	148	70003
7	2272	148	70004
7	2256	52	70003
7	2272	52	70004
7	2256	36	70003
7	2272	36	70004
7	2256	20	70003
7	2272	20	70004
7	2256	4	70003
7	2272	4	70004
7	2320	164	70003
7	2336	164	70004
7	2320	148	70001
7	2336	164	70002



